|name|party|location
296|Xavier Barsalou-Duval|Bloc Québécois|Pierre-Boucher—Les Patriotes—Verchères
297|Frank Baylis|Liberal|Pierrefonds—Dollard
298|Will Amos|Liberal|Pontiac
299|Joël Godin|Conservative|Portneuf—Jacques-Cartier
300|Jean-Yves Duclos|Liberal|Québec
301|Monique Pauzé|Bloc Québécois|Repentigny
302|Alain Rayes|Conservative|Richmond—Arthabaska
303|Guy Caron|NDP|Rimouski-Neigette—Témiscouata—Les Basques
304|Linda Lapointe|Liberal|Rivière-des-Mille-Îles
305|Rhéal Fortino|Bloc Québécois|Rivière-du-Nord
306|Alexandre Boulerice|NDP|Rosemont—La Petite-Patrie
307|Brigitte Sansoucy|NDP|Saint-Hyacinthe—Bagot
308|Jean Rioux|Liberal|Saint-Jean
309|Stéphane Dion (until January 31, 2017)|Liberal|Saint-Laurent
310|Nicola Di Iorio (until January 29, 2019)|Liberal|Saint-Léonard—Saint-Michel
311|François-Philippe Champagne|Liberal|Saint-Maurice—Champlain
312|Anne Minh-Thu Quach|NDP|Salaberry—Suroît
313|Pierre Breton|Liberal|Shefford
314|Pierre-Luc Dusseault|NDP|Sherbrooke
315|Michel Boudrias|Bloc Québécois|Terrebonne
316|Ramez Ayoub|Liberal|Thérèse-De Blainville
317|Robert Aubin|NDP|Trois-Rivières
318|Peter Schiefke|Liberal|Vaudreuil—Soulanges
319|Marc Miller|Liberal|Ville-Marie—Le Sud-Ouest—Île-des-Sœurs
320|Eva Nassif|Liberal|Vimy
321|Gerry Ritz (until October 2, 2017)|Conservative|Battlefords—Lloydminster
322|Kelly Block|Conservative|Carlton Trail—Eagle Creek
323|David Anderson|Conservative|Cypress Hills—Grasslands
324|Georgina Jolibois|NDP|Desnethé—Missinippi—Churchill River
325|Tom Lukiwski|Conservative|Moose Jaw—Lake Centre—Lanigan
326|Randy Hoback|Conservative|Prince Albert
327|Erin Weir|NDP|Regina—Lewvan
328|Andrew Scheerq|Conservative|Regina—Qu'Appelle
329|Ralph Goodale|Liberal|Regina—Wascana
330|Kevin Waugh|Conservative|Saskatoon—Grasswood
331|Brad Trost|Conservative|Saskatoon—University
332|Sheri Benson|NDP|Saskatoon West
333|Robert Kitchen|Conservative|Souris—Moose Mountain
334|Cathay Wagantall|Conservative|Yorkton—Melville
335|Michael McLeod|Liberal|Northwest Territories
336|Hunter Tootoo|Liberal|Nunavut
337|Larry Bagnell|Liberal|Yukon
