end|index_rows|location|name|parliament_number|party|start|sex
9051974|258|Vancouver Kingsway|Grace MacInnis|29|New Democrat|4011973|female
1091972|258|Vancouver Kingsway|Grace MacInnis|28|New Democrat|12091968|female
20112019|18|Edmonton Strathcona|Heather McPherson|43|NDP|21102019|female
20112019|68|Vancouver Centre|Hedy Fry|43|Liberal|21102019|female
7092008|297|Vancouver Centre|Hedy Fry|39|Liberal|3042006|female
29112005|56|Vancouver Centre|Hedy Fry|38|Liberal|4102004|female
23052004|52|Vancouver Centre|Hedy Fry|37|Liberal|29012001|female
27041997|287|Vancouver Centre|Hedy Fry|35|Liberal|17011994|female
11092019|68|Vancouver Centre|Hedy Fry|42|Liberal|3122015|female
2082015|56|Vancouver Centre|Hedy Fry|41|Liberal|2062011|female
26032011|56|Vancouver Centre|Hedy Fry|40|Liberal|18112008|female
22102000|289|Vancouver Centre|Hedy Fry|36|Liberal|22091997|female
29112005|188|Simcoe—Grey|Helena Guergis|38|Conservative|4102004|female
7092008|189|Simcoe—Grey|Helena Guergis|39|Conservative|3042006|female
26032011|188|Simcoe—Grey|Helena Guergis|40|Conservative|18112008|female
20112019|173|Markham—Stouffville|Helena Jaczek|43|Liberal|21102019|female
22102000|71|Louis-Hébert|Hélène Alarie|36|Bloc Québécois|22091997|female
2082015|248|Laurier—Sainte-Marie|Hélène Laverdière|41|NDP|2062011|female
11092019|278|Laurier—Sainte-Marie|Hélène Laverdière|42|NDP|3122015|female
2082015|246|LaSalle—Émard|Hélène LeBlanc|41|NDP|2062011|female
23052004|249|Louis-Hébert|Hélène Scherrer|37|Liberal|29012001|female
26031979|254|Skeena|Iona Campagnolo|30|Liberal|30091974|female
14081935|125||Ira Delbert Cotnam|17|Conservative|9091930|female
7092008|149|London—Fanshawe|Irene Mathyssen|39|New Democrat|3042006|female
2082015|148|London—Fanshawe|Irene Mathyssen|41|NDP|2062011|female
26032011|148|London—Fanshawe|Irene Mathyssen|40|NDP|18112008|female
11092019|170|London—Fanshawe|Irene Mathyssen|42|NDP|3122015|female
6021963|70||Isabel Tibbie Hardie|25|Liberal|27091962|female
2082015|263|Notre-Dame-de-Grâce—Lachine|Isabelle Morin|41|NDP|2062011|female
11092019|173|Markham—Stouffville|Jane Philpott|42|Liberal|3122015|female
27041997|111|Brant|Jane Stewart|35|Liberal|17011994|female
23052004|109|Brant|Jane Stewart|37|Liberal|29012001|female
22102000|113|Brant|Jane Stewart|36|Liberal|22091997|female
9051974|33|Ahuntsic|Jeanne Sauvé|29|Liberal|4011973|female
14121979|67|Laval-des-Rapides|Jeanne Sauvé|31|Liberal|9101979|female
9071984|67|Laval-des-Rapides|Jeanne Sauvé|32|Liberal|14041980|female
26031979|33|Ahuntsic|Jeanne Sauvé|30|Liberal|30091974|female
20112019|92|Fredericton|Jenica Atwin|43|Green|21102019|female
1101988|145|Progressive Conservative|Jennifer Cossitt|33|Leeds—Grenville|5111984|female
20112019|204|Pickering—Uxbridge|Jennifer O'Connell|43|Liberal|21102019|female
11092019|204|Pickering—Uxbridge|Jennifer O'Connell|42|Liberal|3122015|female
20112019|69|Vancouver East|Jenny Kwan|43|NDP|21102019|female
11092019|69|Vancouver East|Jenny Kwan|42|NDP|3122015|female
23052004|236|Jonquière|Jocelyne Girard-Bujold|37|Bloc Québécois|29012001|female
22102000|58|Jonquière|Jocelyne Girard-Bujold|36|Bloc Québécois|22091997|female
7092008|63|Laurentides—Labelle|Johanne Deschamps|39|Bloc Québécois|3042006|female
29112005|247|Laurentides—Labelle|Johanne Deschamps|38|Bloc Québécois|4102004|female
26032011|247|Laurentides—Labelle|Johanne Deschamps|40|Bloc Québécois|18112008|female
26032011|280|Saint-Lambert|Josée Beaudin|40|Bloc Québécois|18112008|female
7092008|71|Louis-Saint-Laurent|Josée Verner|39|Conservative|3042006|female
26032011|255|Louis-Saint-Laurent|Josée Verner|40|Conservative|18112008|female
8091993|271|Mission—Coquitlam|Joy Langan|34|New Democrat|12121988|female
29112005|69|Kildonan—St. Paul|Joy Smith|38|Conservative|4102004|female
7092008|218|Kildonan—St. Paul|Joy Smith|39|Conservative|3042006|female
2082015|69|Kildonan—St. Paul|Joy Smith|41|Conservative|2062011|female
26032011|69|Kildonan—St. Paul|Joy Smith|40|Conservative|18112008|female
2082015|77|Winnipeg South Centre|Joyce Bateman|41|Conservative|2062011|female
20112019|72|Vancouver Quadra|Joyce Murray|43|Liberal|21102019|female
11092019|72|Vancouver Quadra|Joyce Murray|42|Liberal|3122015|female
2082015|60|Vancouver Quadra|Joyce Murray|41|Liberal|2062011|female
26032011|60|Vancouver Quadra|Joyce Murray|40|Liberal|18112008|female
23052004|197|Whitby—Ajax|Judi Longfield|37|Liberal|29012001|female
29112005|204|Whitby—Oshawa|Judi Longfield|38|Liberal|4102004|female
22102000|202|Whitby—Ajax|Judi Longfield|36|Liberal|22091997|female
27041997|243|Edmonton East|Judy Bethel|35|Liberal|17011994|female
9071984|154|Nickel Belt|Judy Erola|32|Liberal|14041980|female
2082015|92|Random—Burin—St. George's|Judy Foote|41|Liberal|2062011|female
26032011|92|Random—Burin—St. George's|Judy Foote|40|Liberal|18112008|female
11092019|101|Bonavista—Burin—Trinity|Judy Foote (until September 30, 2017)|42|Liberal|3122015|female
6021963|124||Judy LaMarsh|25|Liberal|27091962|female
23041968|124||Judy LaMarsh|27|Liberal|18011966|female
8091965|124||Judy LaMarsh|26|Liberal|16051963|female
20112019|158|Humber River—Black Creek|Judy Sgro|43|Liberal|21102019|female
23052004|204|York West|Judy Sgro|37|Liberal|29012001|female
2082015|211|York West|Judy Sgro|41|Liberal|2062011|female
29112005|211|York West|Judy Sgro|38|Liberal|4102004|female
7092008|212|York West|Judy Sgro|39|Liberal|3042006|female
26032011|211|York West|Judy Sgro|40|Liberal|18112008|female
11092019|158|Humber River—Black Creek|Judy Sgro|42|Liberal|3122015|female
29112005|75|Winnipeg North|Judy Wasylycia-Leis|38|New Democrat|4102004|female
7092008|224|Winnipeg North|Judy Wasylycia-Leis|39|New Democrat|3042006|female
23052004|69|Winnipeg North Centre|Judy Wasylycia-Leis|37|NDP|29012001|female
22102000|219|Winnipeg North Centre|Judy Wasylycia-Leis|36|New Democrat|22091997|female
26032011|75|Winnipeg North|Judy Wasylycia-Leis|40|NDP|18112008|female
20112019|226|Toronto—Danforth|Julie Dabrusin|43|Liberal|21102019|female
11092019|226|Toronto—Danforth|Julie Dabrusin|42|Liberal|3122015|female
20112019|136|Davenport|Julie Dzerowicz|43|Liberal|21102019|female
11092019|136|Davenport|Julie Dzerowicz|42|Liberal|3122015|female
